,name,link,industry,location
10325,Brunel Oil and Gas Services W.L.L,https://qa.linkedin.com/company/brunel-oil-and-gas-services-w-l-l,Oil and Gas,"Doha, Doha"
10360,Ambev,https://br.linkedin.com/company/ambev,Food and Beverage Services,"São Paulo, SP"
10361,Gerdau,https://br.linkedin.com/company/gerdau,Mining,"São Paulo, São Paulo"
10362,Nubank,https://br.linkedin.com/company/nubank,Financial Services,"São Paulo, São Paulo"
10363,ArcelorMittal Brasil,https://br.linkedin.com/company/arcelormittal-brasil,Mining,"Belo Horizonte, Minas Gerais"
10364,USIMINAS,https://br.linkedin.com/company/usiminas,Mining,"Belo Horizonte, Minas Gerais"
10365,Itaú Unibanco,https://br.linkedin.com/company/itau,Banking,"Sao Paulo, Sao Paulo"
10366,Magazine Luiza,https://br.linkedin.com/company/magazine-luiza,Retail,"SAO PAULO, SP"
10367,Petrobras,https://br.linkedin.com/company/petrobras,Oil and Gas,"Rio de Janeiro, Rio de Janeiro"
10368,Inter,https://br.linkedin.com/company/inter,Financial Services,"Belo Horizonte, Minas Gerais"
10369,Vagas Empregos,https://br.linkedin.com/company/vagas-empregos,Online Audio and Video Media,"Álvaro de Carvalho, São Paulo"
10381,Anglo American,https://www.linkedin.com/company/anglo-american,Mining,"London, England"
10388,Seriti Resources,https://za.linkedin.com/company/seritiresources,Mining,"Johannesburg, Gauteng"
10389,Canyon Coal,https://za.linkedin.com/company/canyon-coal,Mining,"Johannesburg, Gauteng"
10393,INPEX,https://au.linkedin.com/company/inpex,Oil and Gas,"Perth, WA"
10394,Chevron,https://www.linkedin.com/company/chevron,Oil and Gas,"San Ramon, CA"
10398,bp,https://uk.linkedin.com/company/bp,Oil and Gas,"London, England"
10399,Beach Energy Ltd,https://au.linkedin.com/company/beach-energy-ltd,Oil and Gas,"Adelaide, South Australia"
10415,Bushfire Building Council of Australia,https://au.linkedin.com/company/resilient-building,Strategic Management Services,
10419,Bushfire Volunteers,https://au.linkedin.com/company/bushfirevolunteers,Public Safety,"Belmont, WA"
10429,Safer Care Victoria,https://au.linkedin.com/company/safercarevic,Government Administration,"Melbourne, Victoria"
10431,Zoos Victoria,https://au.linkedin.com/company/zoos-victoria,Non-profit Organizations,"Parkville, Victoria"
10434,Australian Wildlife Conservancy,https://au.linkedin.com/company/australian-wildlife-conservancy,Environmental Services,"Perth, WA"
10436,Environment Protection Authority Victoria (EPA),https://au.linkedin.com/company/epa---victoria,Government Administration,"Carlton, Melbourne, Victoria"
10437,Museums Victoria,https://au.linkedin.com/company/museum-victoria,"Museums, Historical Sites, and Zoos",
10467,St John Ambulance Australia (NSW),https://au.linkedin.com/company/st-john-ambulance-australia-nsw,Non-profit Organizations,"Burwood, NSW"
10470,St John Ambulance,https://www.linkedin.com/company/st-john-ambulance,Hospitals and Health Care,"London, England"
10473,St Johns Ambulance,https://www.linkedin.com/company/st-johns-ambulance,Philanthropic Fundraising Services,
10479,MCS Digital,https://au.linkedin.com/company/mcs-digital,Telecommunications,"Melbourne, Victoria"
10492,Homes Victoria,https://au.linkedin.com/company/homes-victoria,Government Administration,
10520,SilverChef Canada,https://www.linkedin.com/company/silver-chef-canada,Financial Services,
10521,Cenitex Services,https://in.linkedin.com/company/cenitexservices,IT Services and IT Consulting,"Noida, UP"
10542,The Sustainability Consortium,https://www.linkedin.com/company/the-sustainability-consortium,Research Services,"Tempe, Arizona"
10544,Sustainability,https://www.linkedin.com/company/virgo-engineers-ltd,Renewable Energy Semiconductor Manufacturing,
10545,Environment Protection Authority Victoria (EPA),https://au.linkedin.com/company/vicgovepa,Government Administration,"Carlton, Melbourne, Victoria"
10548,Australian Conservation Foundation,https://au.linkedin.com/company/australian-conservation-foundation,Environmental Services,"Carlton, Victoria"
10549,Recycling Victoria,https://www.linkedin.com/company/recycling-victoria,Government Administration,
10599,Department of home affairs,https://za.linkedin.com/company/department-of-home-affairs,Government Relations Services,
10611,Australian Government Department of Veterans'​ Affairs,https://www.linkedin.com/company/australian-government-department-of-veterans%27-affairs,Government Administration,
10612,Australian Public Service Commission,https://www.linkedin.com/company/apsc,Government Administration,
10613,IP Australia,https://www.linkedin.com/company/ip-australia,Government Administration,
10614,"Department of Climate Change, Energy, the Environment and Water",https://www.linkedin.com/company/department-of-climate-change-energy-the-environment-and-water,Government Administration,
10615,Australian Government Department of Education,https://www.linkedin.com/company/ausgoveducation,Government Administration,
10616,Australian Bureau of Statistics,https://www.linkedin.com/company/absstats,Government Administration,
10617,Australian Taxation Office,https://www.linkedin.com/company/australian-taxation-office,Government Administration,
10618,Surf Life Saving NSW,https://au.linkedin.com/company/surf-life-saving-nsw,Public Safety,"Belrose, NSW"
10619,Surf Life Saving Queensland,https://au.linkedin.com/company/lifesavingqld,Public Safety,"South Brisbane, Queensland"
10621,Surf Life Saving Foundation,https://au.linkedin.com/company/surf-lifes-saving-foundation,Philanthropic Fundraising Services,"Bowen Hills, QLD"
10622,Surf Life Saving Western Australia,https://au.linkedin.com/company/surf-life-saving-western-australia,Public Safety,"Balcatta, Western Australia"
10623,Royal Life Saving Society – Australia,https://au.linkedin.com/company/royal-lifesaving-society-%E2%80%93-australia,Non-profit Organizations,"Sydney, NSW"
10624,Mothership Events,https://au.linkedin.com/company/mothership-events,,
10626,Surf Life Saving New Zealand,https://nz.linkedin.com/company/surflifesavingnz,Non-profit Organizations,"Lower Hutt, Wellington"
10627,World Surf League,https://www.linkedin.com/company/worldsurfleague,Spectator Sports,
10628,Fumens Lawyers,https://au.linkedin.com/company/fumens-lawyers,Legal Services,"Glen Waverley, VIC"
10631,KHQ Lawyers,https://au.linkedin.com/company/khq-lawyers,Legal Services,"Melbourne, Victoria"
10632,Robinson Gill Lawyers,https://au.linkedin.com/company/robinson-gill-lawyers,Law Practice,"Box Hill, Victoria"
10633,Cornwalls,https://au.linkedin.com/company/cornwalls,Law Practice,"Melbourne, Victoria"
10634,Gordon Legal,https://au.linkedin.com/company/gordon-legal,Law Practice,"Melbourne, VIC"
10636,Lander & Rogers,https://au.linkedin.com/company/lander-&-rogers,Law Practice,"Melbourne, VIC"
10637,Marsh & Maher Richmond Bennison Lawyers,https://au.linkedin.com/company/mmrb,Law Practice,"East Melbourne, VIC"
10638,The Y Australia,,,
10639,YMCA,,,
10640,Belgravia Leisure,,,
10641,YMCA NSW,,,
10642,City Of Monash,,,
10643,SA Aquatic & Leisure Centre,,,
10644,"Department of Justice and Community Safety, Victoria",,,
10645,City of Boroondara,,,
10646,The Foundation for Young Australians (FYA),,,
10647,Whitehorse City Council,,,
10648,Instacart,https://www.linkedin.com/company/instacart,Software Development,"San Francisco, CA"
10652,Grubhub,https://www.linkedin.com/company/grubhub-seamless,Software Development,"Chicago, Illinois"
